
game 0 mutation rate 1
gen, best, mean, std, median, q1, q3
2, 92.927, 43.740906, 39.178312, 39.454823, 3.37187, 87.727
3, 92.927, 53.80596, 39.173253, 80.234496, 12.484353, 91.238926
4, 92.927, 62.618953, 36.400479, 87.727, 30.203942, 91.772379
5, 92.927, 79.496094, 21.019602, 91.770584, 82.496236, 91.772379
6, 92.927, 83.299513, 17.657291, 91.772379, 87.727, 91.772379
7, 93.127, 81.108638, 21.364759, 91.772379, 86.877, 91.772379
8, 93.127, 87.509886, 11.131559, 91.772379, 87.727, 91.89567
9, 93.127, 84.833198, 15.990373, 91.772379, 87.727, 91.971789
10, 93.127, 80.286026, 21.931098, 91.304767, 85.62385, 92.091287
game 7 mutation rate 1
gen, best, mean, std, median, q1, q3
0, 91.772379, 8.488982, 27.526738, -5.783825, -5.796058, 12.225448
1, 91.772379, 23.755, 35.078841, 12.225448, -5.779196, 38.638748
2, 91.772379, 38.883132, 42.057114, 30.203942, -5.670742, 87.727
3, 91.93704, 57.614834, 39.349865, 85.62385, 28.129519, 89.921585
4, 92.262462, 60.106043, 39.181126, 86.727, 21.298722, 91.772379
5, 92.262462, 74.494198, 27.15877, 89.24969, 72.954065, 91.772379
6, 92.262462, 83.261997, 16.662701, 91.772379, 85.62385, 91.772379
7, 92.368788, 81.233987, 20.340997, 91.772379, 85.62385, 91.772379
8, 92.368788, 85.30019, 15.589399, 91.772379, 87.477, 91.772379
9, 92.368788, 87.671591, 8.258678, 91.772379, 85.62385, 91.772379
10, 92.368788, 89.810064, 3.274, 91.772379, 87.414498, 91.772379
game 8 mutation rate 1
gen, best, mean, std, median, q1, q3
0, 91.772379, 2.923, 24.249519, -5.783825, -5.796058, -5.54223
1, 91.772379, 7.230424, 26.712267, -5.769881, -5.796058, 3.509148
2, 91.772379, 21.564599, 34.840549, 3.438033, -5.783825, 30.820698
3, 91.772379, 34.776879, 38.341745, 30.203942, -5.675068, 75.633412
4, 92.58272, 52.009077, 38.771175, 71.186794, 12.225448, 87.727
5, 92.58272, 62.732261, 37.035724, 85.62385, 37.142102, 87.99987
6, 92.718596, 73.590713, 25.99435, 87.727, 57.585962, 91.772379
7, 92.718596, 77.011102, 25.320886, 87.727, 85.616816, 91.772379
8, 92.718596, 84.326204, 16.084017, 91.770584, 85.62385, 91.772379
9, 92.718596, 89.944711, 3.873346, 91.772379, 88.42385, 91.772379
10, 92.718596, 90.582832, 2.390613, 91.772379, 88.957152, 92.057933
game 9 mutation rate 1
gen, best, mean, std, median, q1, q3
0, 91.772379, 10.692575, 29.283568, -5.783825, -5.796058, 30.203942
1, 92.927, 32.180017, 37.243144, 30.203942, -5.694273, 74.934649
2, 92.927, 43.740906, 39.178312, 39.454823, 3.37187, 87.727
3, 92.927, 53.80596, 39.173253, 80.234496, 12.484353, 91.238926
4, 92.927, 62.618953, 36.400479, 87.727, 30.203942, 91.772379
5, 92.927, 79.496094, 21.019602, 91.770584, 82.496236, 91.772379
6, 92.927, 83.299513, 17.657291, 91.772379, 87.727, 91.772379
7, 93.127, 81.108638, 21.364759, 91.772379, 86.877, 91.772379
8, 93.127, 87.509886, 11.131559, 91.772379, 87.727, 91.89567
9, 93.127, 84.833198, 15.990373, 91.772379, 87.727, 91.971789
10, 93.127, 80.286026, 21.931098, 91.304767, 85.62385, 92.091287
